labels,text
positive,"This was the first ""Walking Tall"" movie I saw, I think in a $2 movie theater along Hollywood Blvd. , so I didn't have any reference to the first installment done by Joe Don Baker. I remember being shocked at the corrupted system of McNairy County and the brutality of the ""redneck gangs"". I was also amazed at the fact that one man decided he's not going to let it slide, and went out to do something about it. Courageous ? I thought so - to a point where it sent shivers up my spine.<br /><br />I think this movie is a great story about American courage to stand up and do something about a system that's only serving its own interest. I was pretty blown away about it, and think this is still one of the best movie of the hero/anti-hero genre, which one might laugh but includes recent movies like the ""The Punisher"", but even more so because it's a true story. The recent remake starring the ""Rock"" just doesn't do any justice to the real fire in the story of Buford Pusser.<br /><br />A ""classic"" that I'm sure will resurface again in the future."
negative,"Within the first few minutes of this Dutch thriller, we learn that Krabbe is a gay alcoholic writer who sleeps sans underwear, fantasizes about murdering his roommate, tries to steal a magazine from a news stand, and lusts after a studly young man he meets at the train station. And he's the hero of this nonsensical movie that is all dressed up (except for Krabbe in at least one scene too many) but has nowhere to go. The basic plot is very simple but is dragged out to nearly two hours before reaching a pointless conclusion. Verhoeven has a nice visual flair but resorts to scenes of wild hallucinations, overt symbolism, and gratuitous gore when he runs out of ideas."
negative,"You know how sometimes you can watch a crappy movie with friends and laugh at all the shortcomings of the movie? Well this was beyond that. I bought the DVD at Tower Records because it was like $3.00 and I'd heard this was a movie you could laugh at. It is really nothing short of pathetic. About 30 minutes into the movie, my friends started asking me to turn it off. Around 45 minutes they begged me. After an hour, we compromised to fast forward to the end, so we could see how the conflict was resolved (and because we had been watching the whole time for Matt Walsh). Seriously, don't watch this movie. It is beyond painful."
positive,"It's a shame this movie is so hard to get your hands on in the US. I found it through a rare video dealer, and it was certainly worth it. This is, without a doubt, the best film made during the pre-code era, and the finest film of the 1930s. Masterful director Frank Borzage made wonderful films about the Depression, and with MAN'S CASTLE he created a fairy tale amidst the hardships of the era.<br /><br />Loretta Young and Spencer Tracy have a wonderful chemistry between them, and they help make this movie a wonderful romance. Young's Trina is sweet and hopeful, while Tracy's Bill is gruff and closed-off. The dynamic between the character creates one of the most difficult, but in the end rewarding relationships on film.<br /><br />MAN'S CASTLE is the most soft-focus pre-code film I've seen. Borzage uses the hazy and dreamy technique to turn the squatter's village where Bill and Trina live into a palace. The hardships of the Depression are never ignored, in fact they're integral to the film. But as Borzage crafts the film as a soft focus fairy tale, the love between the characters makes the situation seem less harsh. It makes the film warm and affectionate.<br /><br />MAN'S CASTLE is the crowning achievement of the pre-code era. If only more people could see it."
positive,"I gave this film 10 not because it is a superbly consistent movie, but for it's pure ability to evoke emotions in its audience. The story of one-woman's-struggle-against-all-odds is an old cliché by now, but very few films have carried it off with so much warmth and sincerity as The Color Purple.<br /><br />It also showed a different side to the African-American experience - showing that after slaves were granted freedom many fell into the ways of the hated 'white man' and were abusive of their own people. I find this an important point as it goes against the portray-white-on-black-violence-and-win-an-Oscar trend.<br /><br />Also the acting performances are superb - especially Oprah who I now have a new found respect for.<br /><br />Well worth watching - but keep some tissue handy."
negative,"This was a better than average movie I thought, for it being on cable. I had expected something along the lines of cheesy melodrama and bad special effects seen in such classics as Christmas Rush or First Daughter/Target/Shot, etc.<br /><br />The cast was well chosen...I especially liked Ron Livingston as the hard pressed SWAT Commander. It's good to see him revisiting the same material he had so much fortune with in Band of Brothers. The producers and designers had done their homework because all the scenes and shots looked like they did on that day back in 1997.<br /><br />So, if you get a chance to see this film, and I am sure you will since FX reruns everything 50 times...take 2 hours and enjoy it."
negative,"Beautiful attracts excellent idea, but ruined with a bad selection of the actors. The main character is a loser and his woman friend and his friend upset viewers. Apart from the first episode all the other become more boring and boring. First, it considers it illogical behavior. No one normal would not behave the way the main character behaves. It all represents a typical Halmark way to endear viewers to the reduced amount of intelligence. Does such a scenario, or the casting director and destroy this question is on Halmark producers. Cat is the main character is wonderful. The main character behaves according to his friend selfish."
negative,"Dakota (1988) was another early Lou Diamond Phillips starring vehicle. This film is similar to the later released film Harley. There are a few differences but they're both the same. I don't know which one came first. I guess it'll remain one of the mysteries of life. But they both are troubled ""kids"" who are trying to turn there lives around. Instead of bikes this one involves horses. They're basically the same movie and they're both cheesy as hell. If you're a serious L.D.P. fan then I recommend that you watch them both. You get some extreme mugging and posturing from L.D.P. if you're game then go for it.<br /><br />Not recommended, except for L.D.P. fans!!!"
negative,"This is the biggest piece of crap ever. It looks like they spent more time, effort, and money making the DVD cover than they did on the actual movie. I really thought the DVD had been switched out with someone's homemade porno until I recognized one of the actors from the cover. This movie looks like someone made it with a hundred bucks and a camcorder and they spent half of that on rats. The picture is really clear, but that, along with the very unfortunate lighting, cinematography, if you can call it that, production, acting, if that is actually what they are doing, and script, if they had one, makes this movie look worse than an old porno. At least the old porno has a point. This just looks like some PETA members got together and decided to make a really disturbing, pointless PSA about animals rights and feelings. This is so not worth the money or the time. It has nothing in common with the actual BTK serial killer other than the name of the killer and that of some of the victims. The people who made this movie should be glad he's not still free, or he might have come after them just for screwing up this movie so bad."
negative,"Over the last 20 years the majority of British films are about how horribly poverty stricken the UK is and how our youth doesn't stand a chance of a good life whilst they live on the mean streets of British cities. The British film industry is obsessed with the idea of 'broken Britain'. Trainspotting, This is England, Kidulthood, Football Factory, Kes and From London to Brighton.<br /><br />Bullet Boy is just another British movie added to that list. The main character expresses a desire to go straight yet he still insists on hanging around with dead beats who carry guns and fight with gang members over nothing. I was never convinced that he did want to go straight as there was nothing stopping him pursuing an education or a trade. In fact it would have been a breath of fresh air if he had of gone straight and we had a character who turned his life around. Instead he spends his time helping his friend trying to commit murder. I felt no sympathy when he is predictably shot by another teen at the end of the film, which is sad because at the beginning of the film I really liked the entire family and their desire for success. I believe the makers missed a great chance to show the world that success belongs to those who are willing to really strive for it (like the Pursuit of Happiness). <br /><br />I know the purpose of this film was to try and paint a realistic picture of what life is like for black teens living in working class areas of Britain but don't we already have enough films in the UK with that very same plot? Isn't it time these talented producers and writers give Britains youth something to aspire to and show them a better life is just around the corner?<br /><br />I applaud the makers of Bullet Boy for not loading the film full of mindless violence in order to try and get success through shock factors (like Kidulthood, Football Factory) but at the same time this movie offers nothing new to a long list of British films that are effectively dull and depressing to watch. There is no happy ending to this movie or any of the others I have mentioned."
