labels,text
1,"地點離市區近,逛夜市方便"
1,服務好、地理位置佳
0,腳踏車希望能免費租借
0,大人馬桶蓋全部蓋下來的時候，蓋子卡軸的那個部份有卡尿垢，可能疏忽了沒有清到，可以再注意一下。 入住當天晚上11點了，樓上居然傳來一群女住客的嬉笑聲、不斷的開關門碰碰碰的，約莫有20分鐘吧。
0,無
0,櫃台女服務員（老鳥），態度差，本人用信卡刷卡，她未對本人說明信用卡刷卡金額等。
1,離夜市很近走路2～3分鐘就到了
1,安靜，乾淨環境
1,房間乾淨，服務人員親切
1,早餐選擇豐富，又有消夜也有小朋友可以玩的設施，性價比很高
1,有泡湯池
0,浴室乾濕設計不好
0,隔音不怎麼好
0,停車需收費應寫出一天200 提早或延遲退房只能擇一也應標示清楚
0,完全沒有對外窗只能靠空調 廁所是開放空間上完廁所後異味難消 只能說汽車旅館或許更適合休息
0,無
0,浴室設備壞掉，沒有立即修理，還要當晚洗澡後再說明
1,早餐好吃，服務親切
1,晚上蠻安靜的
1,房間乾淨寬敞，鄰近海灘～
0,建議餐廳可以加裝捲簾，陽光太刺眼的時候可以遮蔽
1,有私密的空間，但又不失青年旅館的感覺，有機會再去高雄，一樣會入住這間的。
0,早餐食物及飲料的種類和選擇，是所住過同級價位飯店中（包括與這飯店屬同一集團的飯店）最少的一間。補充食物方面，也有點怠慢，食物盆很多時都是空的。 房間內的溫度太低，又不能調較。向前台員工求助，答覆是房間溫度沒法調較，說如嫌溫度低可以關閉空調。如住客因關了空調而要開窗戶（窗戶是鎖上的，只有飯店員工穿才能打開），就必須先簽署一份同意免除飯店有關責任的文件。實在是有點荒謬。 我訂的是角落雙人房間，價錢比同等設施面積相若的其他非角落房間貴，估計原因是角落房間享有（理論上說）較好景觀。實情是因飯店兩邊被高架路橋遮擋，較低樓層的房（包括角落房）都可以說是沒有什麼景觀的。因此除非保證能入住高樓層，否則我認為不值得付出較貴房租訂角落房間。
0,熱水器無法馬上提供熱水，是冷水 洗澡廁所區未與床位區隔⋯⋯滿容易被打擾 整體而言對硬體設施不滿意，但老闆娘是親切的，入住感受是好的
0,電梯只有一台
1,離捷運很近，交通方便
1,老闆人很好，超nice!
1,",員工很好,"
1,距離台中公園、車站都不遠，很方便
1,床舒服，早餐種類豐富，位置佳
0,房間都煙味，連行李的沾染上二手菸味
1,廁所有窗戶非常通風光線很好
0,房間衛生清潔沒有確實 貴妃椅上還要糖果屑屑跟好幾根白頭髮 玻璃上面還有小朋友的手掌印
1,飯店人員的每個人員服務態度都很親切 飯店有桑拿設施可以放鬆身心
0,無
0,早餐的熱食菜色太少，兩天的菜色幾乎一樣。公共區域的清潔可加強，如戶外餐桌、新館一樓，房間缺少放行李的檯子或椅子。
1,早餐用餐環境很舒服像回家一般！ 大廳裝潢很溫暖！ 員工服務超級棒！
0,床比較軟
0,房間略小
1,住宿品質優！
1,地理位置
1,乾淨整潔
1,早餐很棒很新鮮，超級有品味的裝潢，一打開門會發出「哇～～」的驚喜感，管家有禮貌又親切，十分適合度假的好住處❤下次還會想再來的
0,蚊子多建議可以放捕蚊燈
0,沒有室內停車場
0,燈有點暗
1,有幫我免費升級成四人房
0,霉味很重，廁所少間，隔音非常的差（應該是我住過隔音最差的一間，可能是木板的關係，即使戴了耳塞還是會聽到很多聲音，沒法好好睡）...
1,服務態度滿分. 可惜房況就有待加強.
0,"被單都會煙味, 房內若不開冷氣, 就空氣變得很差."
1,有自助洗衣
1,浴室很乾淨 我很滿意
1,整題而言很不錯
0,隔音不太好
0,隔音不佳
0,地點有點偏遠，不太好找。
1,地理位置方便，对客人友善尊重！
1,喜歡這家的氣氛，飯店、房間設計也很好。
1,置物櫃有大浴巾.浴室有好的吹風機可以使用! 往浴廁還有拖鞋能夠換~超級貼心
0,床單有點汙漬
0,房間太暗完全不能化妝，沒有窗門。
1,"員工都很親切熱情,地點很方便,床挺舒適的"
0,但是寢室門關上時很大聲 遇到晚上盥洗時人進進出出 在大門附近的床位會很難入睡
0,停車場 在另外的地方 不是很方便
1,空間大，雙人床加大舒適，隔音效果佳！
0,沒有電梯。
1,位置方便，離台北車站近，交誼廳設計的很漂亮，房間乾淨。
1,早餐好吃
1,整體
1,隔音好，舒適
1,交通方便
0,有大隻蟑螂🤮
0,網路收訊不太好，桌子可以換大張一點的。
0,因為價格低，給的房間夾在中間，沒有窗戶空氣品質不好。
1,"1. 早餐有稀飯 煎餃 麵包等等很豐富 2. 有趴車幫忙停入地下室很貼心 3. 外面就是北投公園可以逛很不錯 4. 外面很熱鬧吃的逛的都有很方便, 一樓還有頂好超市"
0,隔音效果比較不好，過了12點盡量減低音量，大家互相包容唷！
0,房間沒有對外窗，隔音差，房間直接對者餐廳，餐廳又開放24小時，被外面的人吵到不能睡覺，早上又被吃早餐的人吵到不能睡覺，有待檢討
0,有些點心類的食物口感不佳，感覺放一段時間了
1,空氣清新環境很優
1,飯店員工很親切
1,床很舒服，離羅東夜市也很近十分方便
0,隔音差
1,位置好 環境不錯
